layer	projection	null	actual_red	null_red	delta_pp
15	Down	uniform	0.4542	0.3976	5.65
15	Down	sampled_proj_hist	0.4542	0.4630	-0.88
15	Down	tile_hist	0.4542	0.4579	-0.38
15	Down	cross_out	0.4542	0.4556	-0.14
15	Up	uniform	0.4619	0.3979	6.39
15	Up	sampled_proj_hist	0.4619	0.4603	0.15
15	Up	tile_hist	0.4619	0.4642	-0.24
15	Up	cross_out	0.4619	0.4638	-0.20
16	Q	uniform	0.4614	0.3972	6.42
16	Q	sampled_proj_hist	0.4614	0.4619	-0.04
16	Q	tile_hist	0.4614	0.4648	-0.34
16	Q	cross_out	0.4614	0.4613	0.01
16	K	uniform	0.4549	0.3992	5.57
16	K	sampled_proj_hist	0.4549	0.4626	-0.77
16	K	tile_hist	0.4549	0.4579	-0.31
16	K	cross_out	0.4549	0.4553	-0.04
16	V	uniform	0.4715	0.3981	7.34
16	V	sampled_proj_hist	0.4715	0.4686	0.29
16	V	tile_hist	0.4715	0.4748	-0.33
16	V	cross_out	0.4715	0.4726	-0.11
16	O	uniform	0.4528	0.3978	5.51
16	O	sampled_proj_hist	0.4528	0.4584	-0.56
16	O	tile_hist	0.4528	0.4570	-0.42
16	O	cross_out	0.4528	0.4528	0.00
16	Gate	uniform	0.4607	0.3971	6.36
16	Gate	sampled_proj_hist	0.4607	0.4606	0.01
16	Gate	tile_hist	0.4607	0.4636	-0.29
16	Gate	cross_out	0.4607	0.4641	-0.34
16	Down	uniform	0.4582	0.3973	6.09
16	Down	sampled_proj_hist	0.4582	0.4624	-0.42
16	Down	tile_hist	0.4582	0.4608	-0.26
16	Down	cross_out	0.4582	0.4594	-0.12
16	Up	uniform	0.4591	0.3985	6.06
16	Up	sampled_proj_hist	0.4591	0.4606	-0.15
16	Up	tile_hist	0.4591	0.4626	-0.35
16	Up	cross_out	0.4591	0.4612	-0.21
17	Q	uniform	0.4565	0.3992	5.74
17	Q	sampled_proj_hist	0.4565	0.4613	-0.48
17	Q	tile_hist	0.4565	0.4594	-0.28
17	Q	cross_out	0.4565	0.4575	-0.10
17	K	uniform	0.4529	0.3972	5.57
17	K	sampled_proj_hist	0.4529	0.4642	-1.12
17	K	tile_hist	0.4529	0.4579	-0.50
17	K	cross_out	0.4529	0.4544	-0.15
17	V	uniform	0.4598	0.3973	6.26
17	V	sampled_proj_hist	0.4598	0.4645	-0.47
17	V	tile_hist	0.4598	0.4622	-0.24
17	V	cross_out	0.4598	0.4603	-0.05
17	O	uniform	0.4522	0.3979	5.43
17	O	sampled_proj_hist	0.4522	0.4563	-0.41
17	O	tile_hist	0.4522	0.4568	-0.46
17	O	cross_out	0.4522	0.4547	-0.25
17	Gate	uniform	0.4573	0.3961	6.12
17	Gate	sampled_proj_hist	0.4573	0.4603	-0.30
17	Gate	tile_hist	0.4573	0.4615	-0.42
17	Gate	cross_out	0.4573	0.4587	-0.14
17	Down	uniform	0.4592	0.3974	6.18
17	Down	sampled_proj_hist	0.4592	0.4608	-0.16
17	Down	tile_hist	0.4592	0.4640	-0.48
17	Down	cross_out	0.4592	0.4624	-0.32
17	Up	uniform	0.4541	0.3977	5.64
17	Up	sampled_proj_hist	0.4541	0.4611	-0.70
17	Up	tile_hist	0.4541	0.4581	-0.40
17	Up	cross_out	0.4541	0.4558	-0.17
18	Q	uniform	0.4620	0.3973	6.47
18	Q	sampled_proj_hist	0.4620	0.4609	0.11
