layer	projection	null	actual_red	null_red	delta_pp
15	Q	uniform	0.4667	0.3966	7.01
15	Q	proj_hist	0.4667	0.4539	1.28
15	Q	tile_hist	0.4667	0.4553	1.15
15	Q	cross_out	0.4667	0.4549	1.18
15	K	uniform	0.4694	0.3979	7.15
15	K	proj_hist	0.4694	0.4467	2.27
15	K	tile_hist	0.4694	0.4591	1.03
15	K	cross_out	0.4694	0.4589	1.06
15	V	uniform	0.4715	0.3979	7.35
15	V	proj_hist	0.4715	0.4654	0.61
15	V	tile_hist	0.4715	0.4576	1.39
15	V	cross_out	0.4715	0.4579	1.36
15	O	uniform	0.4669	0.3969	7.00
15	O	proj_hist	0.4669	0.4571	0.98
15	O	tile_hist	0.4669	0.4539	1.31
15	O	cross_out	0.4669	0.4537	1.32
15	Gate	uniform	0.4672	0.3975	6.97
15	Gate	proj_hist	0.4672	0.4622	0.50
15	Gate	tile_hist	0.4672	0.4567	1.05
15	Gate	cross_out	0.4672	0.4568	1.04
15	Up	uniform	0.4674	0.3970	7.04
15	Up	proj_hist	0.4674	0.4578	0.96
15	Up	tile_hist	0.4674	0.4539	1.35
15	Up	cross_out	0.4674	0.4535	1.39
15	Down	uniform	0.4711	0.3972	7.39
15	Down	proj_hist	0.4711	0.4583	1.28
15	Down	tile_hist	0.4711	0.4622	0.89
15	Down	cross_out	0.4711	0.4591	1.20
16	Q	uniform	0.4665	0.3965	6.99
16	Q	proj_hist	0.4665	0.4551	1.14
16	Q	tile_hist	0.4665	0.4567	0.98
16	Q	cross_out	0.4665	0.4548	1.17
16	K	uniform	0.4670	0.3975	6.96
16	K	proj_hist	0.4670	0.4720	-0.49
16	K	tile_hist	0.4670	0.4555	1.15
16	K	cross_out	0.4670	0.4536	1.35
16	V	uniform	0.4628	0.3976	6.52
16	V	proj_hist	0.4628	0.4447	1.81
16	V	tile_hist	0.4628	0.4523	1.05
16	V	cross_out	0.4628	0.4520	1.09
16	O	uniform	0.4656	0.3967	6.88
16	O	proj_hist	0.4656	0.4743	-0.87
16	O	tile_hist	0.4656	0.4531	1.25
16	O	cross_out	0.4656	0.4532	1.24
16	Gate	uniform	0.4667	0.3979	6.88
16	Gate	proj_hist	0.4667	0.4554	1.12
16	Gate	tile_hist	0.4667	0.4544	1.23
16	Gate	cross_out	0.4667	0.4542	1.25
16	Up	uniform	0.4670	0.3962	7.09
16	Up	proj_hist	0.4670	0.4561	1.09
16	Up	tile_hist	0.4670	0.4558	1.12
16	Up	cross_out	0.4670	0.4551	1.19
16	Down	uniform	0.4758	0.3977	7.81
16	Down	proj_hist	0.4758	0.4624	1.34
16	Down	tile_hist	0.4758	0.4638	1.20
16	Down	cross_out	0.4758	0.4626	1.31
17	Q	uniform	0.4669	0.3970	6.99
17	Q	proj_hist	0.4669	0.4614	0.56
17	Q	tile_hist	0.4669	0.4558	1.11
17	Q	cross_out	0.4669	0.4536	1.33
17	K	uniform	0.4643	0.3972	6.71
17	K	proj_hist	0.4643	0.4508	1.35
17	K	tile_hist	0.4643	0.4509	1.34
17	K	cross_out	0.4643	0.4509	1.34
17	V	uniform	0.4673	0.3988	6.85
17	V	proj_hist	0.4673	0.4424	2.48
17	V	tile_hist	0.4673	0.4554	1.19
17	V	cross_out	0.4673	0.4548	1.25
17	O	uniform	0.4674	0.3977	6.97
17	O	proj_hist	0.4674	0.4516	1.58
17	O	tile_hist	0.4674	0.4569	1.05
17	O	cross_out	0.4674	0.4552	1.22
17	Gate	uniform	0.4680	0.3975	7.05
17	Gate	proj_hist	0.4680	0.4615	0.65
17	Gate	tile_hist	0.4680	0.4575	1.05
17	Gate	cross_out	0.4680	0.4576	1.04
17	Up	uniform	0.4667	0.3975	6.92
17	Up	proj_hist	0.4667	0.4554	1.14
17	Up	tile_hist	0.4667	0.4554	1.14
17	Up	cross_out	0.4667	0.4557	1.10
17	Down	uniform	0.4662	0.3963	6.99
17	Down	proj_hist	0.4662	0.4688	-0.25
17	Down	tile_hist	0.4662	0.4574	0.89
17	Down	cross_out	0.4662	0.4554	1.08
18	Q	uniform	0.4618	0.3972	6.46
18	Q	proj_hist	0.4618	0.4500	1.18
18	Q	tile_hist	0.4618	0.4532	0.85
18	Q	cross_out	0.4618	0.4505	1.13
18	K	uniform	0.4628	0.3980	6.48
18	K	proj_hist	0.4628	0.4497	1.31
18	K	tile_hist	0.4628	0.4528	1.00
18	K	cross_out	0.4628	0.4506	1.21
18	V	uniform	0.4672	0.3975	6.97
18	V	proj_hist	0.4672	0.4598	0.74
18	V	tile_hist	0.4672	0.4557	1.15
18	V	cross_out	0.4672	0.4534	1.38
18	O	uniform	0.4689	0.3982	7.07
18	O	proj_hist	0.4689	0.4604	0.85
18	O	tile_hist	0.4689	0.4565	1.24
18	O	cross_out	0.4689	0.4543	1.46
18	Gate	uniform	0.4709	0.3967	7.43
18	Gate	proj_hist	0.4709	0.4577	1.32
18	Gate	tile_hist	0.4709	0.4603	1.07
18	Gate	cross_out	0.4709	0.4599	1.10
18	Up	uniform	0.4669	0.3979	6.90
18	Up	proj_hist	0.4669	0.4614	0.56
18	Up	tile_hist	0.4669	0.4556	1.13
18	Up	cross_out	0.4669	0.4536	1.34
18	Down	uniform	0.4707	0.3990	7.17
18	Down	proj_hist	0.4707	0.4709	-0.02
18	Down	tile_hist	0.4707	0.4589	1.18
18	Down	cross_out	0.4707	0.4558	1.49
19	Q	uniform	0.4650	0.3975	6.75
19	Q	proj_hist	0.4650	0.4548	1.03
19	Q	tile_hist	0.4650	0.4539	1.11
19	Q	cross_out	0.4650	0.4526	1.25
19	K	uniform	0.4654	0.3970	6.84
19	K	proj_hist	0.4654	0.4395	2.59
19	K	tile_hist	0.4654	0.4563	0.91
19	K	cross_out	0.4654	0.4536	1.18
19	V	uniform	0.4639	0.3991	6.48
19	V	proj_hist	0.4639	0.4652	-0.13
19	V	tile_hist	0.4639	0.4528	1.10
19	V	cross_out	0.4639	0.4531	1.07
19	O	uniform	0.4595	0.3976	6.19
19	O	proj_hist	0.4595	0.4506	0.89
19	O	tile_hist	0.4595	0.4500	0.95
19	O	cross_out	0.4595	0.4485	1.10
19	Gate	uniform	0.4663	0.3976	6.87
19	Gate	proj_hist	0.4663	0.4575	0.89
19	Gate	tile_hist	0.4663	0.4571	0.92
19	Gate	cross_out	0.4663	0.4553	1.10
19	Up	uniform	0.4656	0.3985	6.71
19	Up	proj_hist	0.4656	0.4614	0.42
19	Up	tile_hist	0.4656	0.4571	0.85
19	Up	cross_out	0.4656	0.4557	0.99
19	Down	uniform	0.4691	0.3973	7.18
19	Down	proj_hist	0.4691	0.4515	1.76
19	Down	tile_hist	0.4691	0.4594	0.96
19	Down	cross_out	0.4691	0.4586	1.04
20	Q	uniform	0.4631	0.3965	6.66
20	Q	proj_hist	0.4631	0.4573	0.59
20	Q	tile_hist	0.4631	0.4541	0.90
20	Q	cross_out	0.4631	0.4541	0.90
20	K	uniform	0.4633	0.3972	6.60
20	K	proj_hist	0.4633	0.4669	-0.36
20	K	tile_hist	0.4633	0.4542	0.90
20	K	cross_out	0.4633	0.4523	1.09
20	V	uniform	0.4682	0.3978	7.04
20	V	proj_hist	0.4682	0.4541	1.41
20	V	tile_hist	0.4682	0.4587	0.95
20	V	cross_out	0.4682	0.4559	1.23
20	O	uniform	0.4661	0.3986	6.74
20	O	proj_hist	0.4661	0.4520	1.41
20	O	tile_hist	0.4661	0.4523	1.37
20	O	cross_out	0.4661	0.4520	1.41
20	Gate	uniform	0.4681	0.3971	7.10
20	Gate	proj_hist	0.4681	0.4615	0.65
20	Gate	tile_hist	0.4681	0.4572	1.09
20	Gate	cross_out	0.4681	0.4569	1.12
