# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLchk	16	8192	-	wall=0.3546s stepsum=0.3546s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	8192	0	0.142712000
PLff	24	8192	0	0.046145000
PLatt	24	8192	1	0.069118000
PLff	24	8192	1	0.050462000
PLatt	24	8192	2	0.069160000
PLff	24	8192	2	0.057251000
PLatt	24	8192	3	0.071586000
PLff	24	8192	3	0.050992000
PLc0	24	8192	-	0.026482000
PLchk	24	8192	-	wall=0.5875s stepsum=0.5875s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	8192	0	0.208388000
PLff	32	8192	0	0.051497000
PLatt	32	8192	1	0.095508000
PLff	32	8192	1	0.049109000
PLatt	32	8192	2	0.092616000
PLff	32	8192	2	0.048794000
PLatt	32	8192	3	0.095457000
PLff	32	8192	3	0.054035000
PLc0	32	8192	-	0.026578000
PLchk	32	8192	-	wall=0.7285s stepsum=0.7285s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	8192	0	0.305879000
PLff	48	8192	0	0.076962000
PLatt	48	8192	1	0.148064000
PLff	48	8192	1	0.076343000
PLatt	48	8192	2	0.149402000
PLff	48	8192	2	0.072265000
PLatt	48	8192	3	0.148394000
PLff	48	8192	3	0.077432000
PLc0	48	8192	-	0.027372000
PLchk	48	8192	-	wall=1.0898s stepsum=1.0898s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	8192	0	0.397119000
PLff	64	8192	0	0.098563000
PLatt	64	8192	1	0.272566000
PLff	64	8192	1	0.099437000
PLatt	64	8192	2	0.201229000
PLff	64	8192	2	0.099630000
PLatt	64	8192	3	0.185314000
PLff	64	8192	3	0.098873000
PLc0	64	8192	-	0.026545000
PLchk	64	8192	-	wall=1.4961s stepsum=1.4961s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	8192	0	0.633569000
PLff	96	8192	0	0.145638000
PLatt	96	8192	1	0.306454000
PLff	96	8192	1	0.144178000
PLatt	96	8192	2	0.307572000
PLff	96	8192	2	0.154879000
PLatt	96	8192	3	0.308154000
PLff	96	8192	3	0.151985000
PLc0	96	8192	-	0.028503000
PLchk	96	8192	-	wall=2.2866s stepsum=2.2866s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	8192	0	0.874089000
PLff	128	8192	0	0.203715000
PLatt	128	8192	1	0.423501000
PLff	128	8192	1	0.191746000
PLatt	128	8192	2	0.427875000
PLff	128	8192	2	0.201877000
PLatt	128	8192	3	0.426819000
PLff	128	8192	3	0.201653000
PLc0	128	8192	-	0.029469000
PLchk	128	8192	-	wall=3.0747s stepsum=3.0747s ratio=1.000
